# kind, long name, terminfo name, termcap name, parameter signature (n/b), introduced version
str	exit_alt_charset_mode	rmacs	ae	-	system-v
str	exit_attribute_mode	sgr0	me	-	system-v
str	exit_ca_mode	rmcup	te	-	system-v
str	exit_delete_mode	rmdc	ed	-	system-v
str	exit_insert_mode	rmir	ei	-	system-v
str	exit_standout_mode	rmso	se	-	system-v
str	exit_underline_mode	rmul	ue	-	system-v
str	flash_screen	flash	vb	-	system-v
str	form_feed	ff	ff	-	system-v
str	from_status_line	fsl	fs	-	system-v
str	init_1string	is1	i1	-	system-v
str	init_2string	is2	is	-	system-v
str	init_3string	is3	i3	-	system-v
str	init_file	if	if	-	system-v
str	insert_character	ich1	ic	-	system-v
str	insert_line	il1	al	-	system-v
str	insert_padding	ip	ip	-	system-v
str	key_backspace	kbs	kb	-	system-v
str	key_catab	ktbc	ka	-	system-v
str	key_clear	kclr	kC	-	system-v
str	key_ctab	kctab	kt	-	system-v
str	key_dc	kdch1	kD	-	system-v
str	key_dl	kdl1	kL	-	system-v
str	key_down	kcud1	kd	-	system-v
str	key_eic	krmir	kM	-	system-v
str	key_eol	kel	kE	-	system-v
str	key_eos	ked	kS	-	system-v
str	key_f0	kf0	k0	-	system-v
str	key_f1	kf1	k1	-	system-v
str	key_f10	kf10	k;	-	system-v
str	key_f2	kf2	k2	-	system-v
str	key_f3	kf3	k3	-	system-v
str	key_f4	kf4	k4	-	system-v
str	key_f5	kf5	k5	-	system-v
str	key_f6	kf6	k6	-	system-v
str	key_f7	kf7	k7	-	system-v
str	key_f8	kf8	k8	-	system-v
str	key_f9	kf9	k9	-	system-v
str	key_home	khome	kh	-	system-v
str	key_ic	kich1	kI	-	system-v
str	key_il	kil1	kA	-	system-v
str	key_left	kcub1	kl	-	system-v
str	key_ll	kll	kH	-	system-v
str	key_npage	knp	kN	-	system-v
str	key_ppage	kpp	kP	-	system-v
str	key_right	kcuf1	kr	-	system-v
str	key_sf	kind	kF	-	system-v
